Step,Loss,Batch Size,Train Accuracy,Test Accuracy
461,2.4838562,16,0.25,
462,3.021817,16,0.0625,
463,2.5439067,16,0.3125,
464,2.8746707,16,0.0625,
465,2.711014,16,0.0625,
466,2.592542,16,0.25,
467,2.732502,16,0.125,
468,2.2819085,16,0.125,
469,2.860712,16,0.3125,
470,3.039363,16,0.125,
471,2.58074,16,0.1875,
472,2.9753873,16,0.125,
473,2.5330358,16,0.125,
474,2.9436183,16,0.1875,
475,3.2309442,16,0.0625,
476,3.1230035,16,0.125,
477,2.6171658,16,0.0625,
478,2.6842232,16,0.125,
479,2.764709,16,0.1875,
480,2.5553107,16,0.1875,
481,2.3088543,16,0.25,
482,3.2490308,16,0.0625,
483,2.6922178,16,0.1875,
484,2.739091,16,0.125,
485,2.9120092,16,0.0,
486,2.9586184,16,0.0,
487,2.369379,16,0.375,
488,2.4138317,16,0.25,
489,2.9287944,16,0.125,
490,2.3625953,16,0.1875,
491,2.988675,16,0.0625,
492,2.7907834,16,0.125,
493,2.895209,16,0.0625,
494,2.618848,16,0.1875,
495,2.4018042,16,0.25,
496,2.1121643,16,0.375,
497,2.4591248,16,0.125,
498,2.7392325,16,0.125,
499,3.0155108,16,0.0,
500,2.4918919,16,0.375,0.1579
501,2.6711345,16,0.0625,
502,2.836573,16,0.125,
503,2.9386506,16,0.0625,
504,2.563973,16,0.25,
505,2.7147853,16,0.1875,
506,2.7836945,16,0.125,
507,2.73879,16,0.0625,
508,2.8058324,16,0.0625,
509,2.7073584,16,0.0625,
510,2.4628205,16,0.3125,
511,2.2498584,16,0.25,
512,2.5595927,16,0.125,
513,2.6941104,16,0.1875,
514,2.9443288,16,0.0625,
515,2.8504581,16,0.0625,
516,2.7584586,16,0.0625,
517,2.2598677,16,0.25,
518,2.918491,16,0.0625,
519,2.5522685,16,0.125,
520,2.4615874,16,0.25,
521,2.6568685,16,0.25,
522,2.7419286,16,0.125,
523,2.3725333,16,0.25,
524,2.833515,16,0.125,
525,2.7637682,16,0.125,
526,2.5601797,16,0.3125,
527,2.586291,16,0.25,
528,3.2016234,16,0.0625,
529,2.5969741,16,0.125,
530,2.2918563,16,0.3125,
531,2.6923604,16,0.1875,
532,2.35852,16,0.25,
533,2.9767168,16,0.0625,
534,2.5927036,16,0.125,
535,2.4419758,16,0.1875,
536,2.297336,16,0.25,
537,3.7975864,16,0.125,
538,3.2734296,16,0.0625,
539,2.6096811,16,0.0625,
540,2.8365571,16,0.125,
541,2.8928723,16,0.1875,
542,3.0933893,16,0.0625,
543,2.6608627,16,0.1875,
544,2.5662308,16,0.1875,
545,2.7608128,16,0.1875,
546,3.0701551,16,0.0625,
547,2.2346296,16,0.1875,
548,2.8435998,16,0.125,
549,2.710646,16,0.0625,
550,2.59299,16,0.1875,
551,2.9607363,16,0.0625,
552,2.7957082,16,0.125,
553,2.435075,16,0.375,
554,3.0718074,16,0.0625,
555,2.8788154,16,0.125,
556,2.681841,16,0.0625,
557,2.7305224,16,0.1875,
558,2.759425,16,0.1875,
559,2.8395696,16,0.0,
560,2.5067573,16,0.25,
561,2.719195,16,0.1875,
562,2.9304867,16,0.0,
563,2.990922,16,0.0,
564,2.2694323,16,0.1875,
565,2.9540386,16,0.125,
566,2.961391,16,0.0625,
567,2.7840543,16,0.0625,
568,2.8913312,16,0.0625,
569,2.6062255,16,0.1875,
570,2.6354592,16,0.1875,
571,2.4390845,16,0.4375,
572,2.534096,16,0.1875,
573,2.7711558,16,0.1875,
574,2.910637,16,0.0,
575,2.8272734,16,0.0,
576,2.787589,16,0.1875,
577,2.573372,16,0.1875,
578,2.7156248,16,0.25,
579,2.8016307,16,0.0625,
580,2.4896321,16,0.25,
581,2.5138006,16,0.3125,
582,2.6096206,16,0.3125,
583,2.601226,16,0.3125,
584,2.6165972,16,0.1875,
585,2.6237805,16,0.125,
586,2.528243,16,0.125,
587,2.936383,16,0.1875,
588,2.3727438,16,0.25,
589,2.1453595,16,0.375,
590,2.557978,16,0.25,
591,2.7782426,16,0.1875,
592,2.9231114,16,0.0,
593,2.8916488,16,0.0625,
594,2.9278846,16,0.0625,
595,2.535475,16,0.1875,
596,2.6929686,16,0.3125,
597,2.7549472,16,0.125,
598,2.650074,16,0.1875,
599,2.242168,16,0.3125,
600,2.781689,16,0.125,0.1814
601,2.6698031,16,0.1875,
602,2.6994104,16,0.1875,
603,2.768045,16,0.0,
604,2.6414843,16,0.1875,
605,2.5105395,16,0.25,
606,2.9623942,16,0.0625,
607,2.6232285,16,0.1875,
608,2.5223293,16,0.125,
609,2.5563488,16,0.3125,
610,2.3824267,16,0.1875,
611,2.5694761,16,0.125,
612,3.1937544,16,0.0625,
613,3.4513724,16,0.0,
614,2.6908894,16,0.125,
615,2.2658799,16,0.375,
616,2.8790584,16,0.125,
617,2.5462275,16,0.3125,
618,3.0073884,16,0.125,
619,2.5375986,16,0.25,
620,2.279817,16,0.3125,
621,2.8443758,16,0.0625,
622,2.5356414,16,0.3125,
623,2.4778852,16,0.25,
624,2.8523126,16,0.0625,
625,2.6054816,16,0.375,
626,2.6382551,16,0.1875,
627,2.5539622,16,0.1875,
628,2.0789819,16,0.375,
629,2.62395,16,0.3125,
630,2.9125433,16,0.1875,
631,2.3541079,16,0.5625,
632,2.4237797,16,0.375,
633,3.0380025,16,0.0,
634,2.956433,16,0.0,
635,2.6430917,16,0.25,
636,2.532445,16,0.3125,
637,2.3334749,16,0.1875,
638,2.530809,16,0.125,
639,2.4826024,16,0.1875,
640,2.7222266,16,0.25,
641,2.623434,16,0.25,
