Step,Loss,Batch Size,Accuracy
935,1.570001,16,0.375
936,1.9337673,16,0.1875
937,1.3064017,16,0.5
938,1.1830812,16,0.5
939,1.4515212,16,0.625
940,1.848295,16,0.1875
941,1.382679,16,0.4375
942,1.631829,16,0.375
943,1.3280152,16,0.4375
944,2.5231004,16,0.1875
945,1.7889633,16,0.25
946,1.8956604,16,0.25
947,1.5057232,16,0.6875
948,1.3956454,16,0.625
949,1.803899,16,0.25
950,1.6270108,16,0.4375
951,1.4534497,16,0.3125
952,1.9413177,16,0.3125
953,1.7319906,16,0.4375
954,1.4087622,16,0.4375
955,2.0579462,16,0.0625
956,1.6189063,16,0.3125
957,1.5110309,16,0.5
958,1.3870504,16,0.375
959,1.3415442,16,0.6875
960,1.2207917,16,0.5625
961,2.0079467,16,0.25
962,1.3740622,16,0.5
963,1.4497505,16,0.4375
964,1.3198385,16,0.5625
965,1.7104084,16,0.375
966,1.3178486,16,0.5
967,2.2431998,16,0.1875
968,1.5707817,16,0.5
969,1.3548913,16,0.5
