Step,Loss,Batch Size,Train Accuracy,Test Accuracy
759,1.8135788,16,0.375,
760,1.9892117,16,0.25,
761,1.8182944,16,0.3125,
762,1.3547989,16,0.625,
763,1.273417,16,0.5625,
764,1.3534126,16,0.4375,
765,1.675854,16,0.3125,
766,2.103563,16,0.1875,
767,1.3224177,16,0.5625,
768,1.5129797,16,0.375,
769,1.7081965,16,0.375,
770,1.5801739,16,0.5,
771,1.4769242,16,0.5,
772,1.173952,16,0.5625,
773,1.4933705,16,0.5,
774,1.7195125,16,0.25,
775,1.6028461,16,0.375,
776,1.8883744,16,0.3125,
777,1.2682235,16,0.625,
778,1.168746,16,0.4375,
779,1.7451029,16,0.5,
780,1.6463001,16,0.4375,
781,1.823,16,0.3125,
782,1.4082297,16,0.375,
783,2.0138097,16,0.625,
784,1.72786,16,0.375,
785,2.1766858,16,0.1875,
786,1.692003,16,0.25,
787,1.7521458,16,0.25,
788,2.009822,16,0.4375,
789,1.519585,16,0.625,
790,1.3259151,16,0.4375,
791,1.6216784,16,0.375,
792,2.2850883,16,0.3125,
793,1.8613784,16,0.375,
794,1.4589366,16,0.375,
795,1.7022007,16,0.375,
796,1.9343569,16,0.375,
797,1.6824269,16,0.4375,
798,1.8317895,16,0.25,
799,1.1768024,16,0.625,
800,1.5543388,16,0.4375,0.4349
801,2.2939444,16,0.25,
802,1.7278442,16,0.25,
803,1.5321821,16,0.3125,
804,1.247086,16,0.6875,
805,1.6024357,16,0.4375,
806,2.0032678,16,0.3125,
807,1.6195709,16,0.3125,
808,2.1247787,16,0.25,
809,1.3854625,16,0.4375,
810,2.6305642,16,0.1875,
811,1.696321,16,0.375,
812,1.7488623,16,0.375,
813,2.4060135,16,0.125,
814,1.5481513,16,0.4375,
815,1.560772,16,0.4375,
816,1.5816138,16,0.4375,
817,1.8777592,16,0.3125,
818,1.8856109,16,0.3125,
819,1.4436194,16,0.5,
820,1.1983597,16,0.6875,
821,1.2325039,16,0.6875,
822,1.7210587,16,0.4375,
823,1.7207909,16,0.3125,
824,1.7977312,16,0.3125,
825,2.0547805,16,0.25,
826,1.7238667,16,0.375,
827,1.6348563,16,0.5,
828,1.5850009,16,0.25,
829,1.5899444,16,0.5,
830,1.5530204,16,0.5625,
831,1.7434189,16,0.3125,
832,1.4664001,16,0.4375,
833,1.563612,16,0.5,
834,1.7445741,16,0.5625,
835,1.8683944,16,0.375,
836,1.6228225,16,0.375,
837,1.4482641,16,0.5,
838,1.880816,16,0.375,
839,1.4495785,16,0.4375,
840,1.6151253,16,0.3125,
841,1.838109,16,0.3125,
842,1.8193196,16,0.3125,
843,2.1885269,16,0.125,
844,1.9511205,16,0.1875,
845,1.6040075,16,0.375,
846,1.571776,16,0.5,
847,2.1151626,16,0.3125,
848,2.001954,16,0.125,
849,1.3689795,16,0.5625,
850,1.2320223,16,0.5625,
851,1.7305373,16,0.4375,
852,1.4494393,16,0.375,
853,1.3979597,16,0.4375,
854,1.3159251,16,0.625,
855,1.5809507,16,0.375,
856,1.8424542,16,0.3125,
857,1.3237298,16,0.5625,
858,1.8104453,16,0.25,
859,1.8842185,16,0.4375,
860,1.2545133,16,0.5,
861,1.7459271,16,0.375,
862,1.6329334,16,0.375,
863,1.9792403,16,0.375,
864,1.8702707,16,0.1875,
865,1.8298084,16,0.5,
866,1.5733564,16,0.4375,
867,1.9958875,16,0.125,
868,1.486914,16,0.5,
869,1.2707946,16,0.4375,
870,1.5886376,16,0.5,
871,1.5229073,16,0.5,
872,1.8103185,16,0.3125,
873,1.5719463,16,0.75,
874,1.5622485,16,0.375,
875,1.2805452,16,0.3125,
876,1.715745,16,0.4375,
877,1.7846208,16,0.125,
878,1.459316,16,0.4375,
879,1.4120381,16,0.4375,
880,1.1499174,16,0.6875,
881,1.9600158,16,0.3125,
882,1.6644208,16,0.375,
883,1.493432,16,0.4375,
884,1.5441155,16,0.5,
